CustomerKey;Name;Marital Status;Gender;Education;Occupation;Continent;City;State;CountryRegion;Birth Date
17;Hill, Wyatt;M;M;Partial College;Skilled Manual;North America;Imperial Beach;California;United States;28/4/1979 0:00
24;Edwards, Seth;M;M;Partial College;Skilled Manual;North America;Bellflower;California;United States;11/10/1978 0:00
25;Xie, Russell;M;M;Partial College;Skilled Manual;North America;Concord;California;United States;17/9/1978 0:00
44;Simmons, Nathan;M;M;Partial College;Skilled Manual;North America;Glendale;California;United States;24/2/1976 0:00
164;Wang, Gabriel;M;M;Partial College;Skilled Manual;North America;Spring Valley;California;United States;20/12/1974 0:00
735;Chen, Omar;M;M;Partial College;Skilled Manual;North America;Coronado;California;United States;25/8/1959 0:00
737;Sanchez, Sebastian;M;M;Partial College;Skilled Manual;North America;Fremont;California;United States;25/9/1959 0:00
867;Scott, Lucas;M;M;Partial College;Skilled Manual;North America;Glendale;California;United States;2/7/1961 0:00
939;Alexander, Seth;M;M;Partial College;Skilled Manual;North America;Daly City;California;United States;21/9/1977 0:00
946;Huang, Dennis;M;M;Partial College;Skilled Manual;North America;Concord;California;United States;11/9/1980 0:00
955;Garcia, Joseph;M;M;Partial College;Skilled Manual;North America;Glendale;California;United States;17/8/1975 0:00
1041;Torres, Richard;M;M;Partial College;Skilled Manual;North America;San Diego;California;United States;18/8/1976 0:00
1044;Patterson, Carson;M;M;Partial College;Skilled Manual;North America;Fremont;California;United States;21/9/1974 0:00
2018;Alexander, Xavier;M;M;Partial College;Skilled Manual;North America;Concord;California;United States;16/2/1979 0:00
2033;Baker, Kevin;M;M;Partial College;Skilled Manual;North America;National City;California;United States;9/4/1977 0:00
2164;Lopez, Noah;M;M;Partial College;Skilled Manual;North America;Daly City;California;United States;9/3/1976 0:00
2167;Chen, Kyle;M;M;Partial College;Skilled Manual;North America;National City;California;United States;13/3/1976 0:00
2943;Long, Seth;M;M;Partial College;Skilled Manual;North America;Downey;California;United States;8/4/1960 0:00
2994;Patterson, Zachary;M;M;Partial College;Skilled Manual;North America;Burlingame;California;United States;24/8/1978 0:00
3000;Gonzales, Elijah;M;M;Partial College;Skilled Manual;North America;Oakland;California;United States;17/8/1978 0:00
3006;Hughes, Noah;M;M;Partial College;Skilled Manual;North America;Redwood City;California;United States;13/5/1977 0:00
3110;Gonzales, Aidan;M;M;Partial College;Skilled Manual;North America;San Diego;California;United States;23/8/1974 0:00
3623;Patterson, Brandon;M;M;Partial College;Skilled Manual;North America;Coronado;California;United States;24/2/1962 0:00
3624;Li, Benjamin;M;M;Partial College;Skilled Manual;North America;San Diego;California;United States;6/10/1962 0:00
3628;Hill, Isaiah;M;M;Partial College;Skilled Manual;North America;San Carlos;California;United States;16/11/1961 0:00
3631;James, Isaiah;M;M;Partial College;Skilled Manual;North America;Imperial Beach;California;United States;7/8/1961 0:00
3640;Howard, Jeremiah;M;M;Partial College;Skilled Manual;North America;Downey;California;United States;24/8/1960 0:00
3653;Luo, Russell;M;M;Partial College;Skilled Manual;North America;Beverly Hills;California;United States;2/12/1960 0:00
3654;Fernandez, Troy;M;M;Partial College;Skilled Manual;North America;Concord;California;United States;7/1/1959 0:00
4011;Suri, Cory;M;M;Partial College;Skilled Manual;North America;Berkeley;California;United States;12/9/1977 0:00
4276;Collins, Eric;M;M;Partial College;Skilled Manual;North America;Santa Monica;California;United States;23/10/1976 0:00
4429;Howard, Richard;M;M;Partial College;Skilled Manual;North America;Spring Valley;California;United States;1/5/1979 0:00
4430;Li, Aaron;M;M;Partial College;Skilled Manual;North America;West Covina;California;United States;19/4/1979 0:00
4432;Jackson, John;M;M;Partial College;Skilled Manual;North America;Berkeley;California;United States;17/3/1978 0:00
4545;Brown, Thomas;M;M;Partial College;Skilled Manual;North America;Glendale;California;United States;14/12/1962 0:00
4558;Murphy, Nathaniel;M;M;Partial College;Skilled Manual;North America;Oakland;California;United States;14/8/1960 0:00
4569;Hayes, Aaron;M;M;Partial College;Skilled Manual;North America;Glendale;California;United States;11/1/1958 0:00
5018;Ramirez, Jeremy;M;M;Partial College;Skilled Manual;North America;Novato;California;United States;12/5/1979 0:00
5148;Griffin, Nathan;M;M;Partial College;Skilled Manual;North America;Lemon Grove;California;United States;24/11/1958 0:00
5337;Wright, Jonathan;M;M;Partial College;Skilled Manual;North America;Downey;California;United States;8/6/1977 0:00
5338;White, Jose;M;M;Partial College;Skilled Manual;North America;El Cajon;California;United States;6/7/1977 0:00
5504;Anderson, Christian;M;M;Partial College;Skilled Manual;North America;Mill Valley;California;United States;2/3/1975 0:00
5751;Sanders, Seth;M;M;Partial College;Skilled Manual;North America;Torrance;California;United States;11/5/1974 0:00
5921;Stewart, Eduardo;M;M;Partial College;Skilled Manual;North America;Torrance;California;United States;17/1/1979 0:00
6860;Gonzalez, Wyatt;M;M;Partial College;Skilled Manual;North America;Lincoln Acres;California;United States;22/9/1961 0:00
6861;Diaz, Noah;M;M;Partial College;Skilled Manual;North America;Imperial Beach;California;United States;9/5/1961 0:00
6867;Baker, Jack;M;M;Partial College;Skilled Manual;North America;El Cajon;California;United States;20/9/1960 0:00
7229;Parker, Adam;M;M;Partial College;Skilled Manual;North America;Santa Cruz;California;United States;27/4/1960 0:00
7352;Smith, Alexander;M;M;Partial College;Skilled Manual;North America;Burlingame;California;United States;13/2/1972 0:00
7359;Coleman, Oscar;M;M;Partial College;Skilled Manual;North America;Downey;California;United States;25/8/1979 0:00
7361;Li, Eric;M;M;Partial College;Skilled Manual;North America;Santa Cruz;California;United States;13/9/1979 0:00
7456;Wu, Alejandro;M;M;Partial College;Skilled Manual;North America;Coronado;California;United States;25/9/1977 0:00
7474;Rogers, Nathaniel;M;M;Partial College;Skilled Manual;North America;La Jolla;California;United States;27/5/1975 0:00
7475;Smith, James;M;M;Partial College;Skilled Manual;North America;Long Beach;California;United States;11/7/1975 0:00
7529;Rodriguez, John;M;M;Partial College;Skilled Manual;North America;Lakewood;California;United States;3/11/1962 0:00
7779;Washington, Miguel;M;M;Partial College;Skilled Manual;North America;National City;California;United States;8/7/1974 0:00
7780;Hill, Jose;M;M;Partial College;Skilled Manual;North America;Novato;California;United States;22/4/1974 0:00
7963;Parker, Seth;M;M;Partial College;Skilled Manual;North America;Colma;California;United States;25/12/1962 0:00
8672;Davis, Michael;M;M;Partial College;Skilled Manual;North America;Concord;California;United States;2/7/1978 0:00
8778;Thomas, Jonathan;M;M;Partial College;Skilled Manual;North America;Los Angeles;California;United States;19/5/1975 0:00
8832;Green, Charles;M;M;Partial College;Skilled Manual;North America;San Carlos;California;United States;23/8/1962 0:00
9188;King, Robert;M;M;Partial College;Skilled Manual;North America;Spring Valley;California;United States;8/9/1961 0:00
9195;Campbell, Connor;M;M;Partial College;Skilled Manual;North America;San Diego;California;United States;8/11/1960 0:00
9312;Bell, Cole;M;M;Partial College;Skilled Manual;North America;Los Angeles;California;United States;11/2/1979 0:00
9412;James, Cole;M;M;Partial College;Skilled Manual;North America;El Cajon;California;United States;5/6/1977 0:00
9413;Jackson, David;M;M;Partial College;Skilled Manual;North America;Torrance;California;United States;23/10/1977 0:00
10156;Flores, Jeremiah;M;M;Partial College;Skilled Manual;North America;Lincoln Acres;California;United States;4/3/1960 0:00
10369;Collins, Mason;M;M;Partial College;Skilled Manual;North America;Daly City;California;United States;26/9/1977 0:00
10399;Diaz, Ethan;M;M;Partial College;Skilled Manual;North America;Spring Valley;California;United States;25/3/1975 0:00
10400;Hughes, Ian;M;M;Partial College;Skilled Manual;North America;Woodland Hills;California;United States;25/11/1975 0:00
10916;Wood, Tristan;M;M;Partial College;Skilled Manual;North America;San Francisco;California;United States;1/5/1962 0:00
10932;Wood, Marcus;M;M;Partial College;Skilled Manual;North America;San Francisco;California;United States;20/9/1960 0:00
10933;Kumar, Leonard;M;M;Partial College;Skilled Manual;North America;Colma;California;United States;14/12/1959 0:00
11035;Clark, Seth;M;M;Partial College;Skilled Manual;North America;Grossmont;California;United States;3/4/1976 0:00
11036;Wilson, Ryan;M;M;Partial College;Skilled Manual;North America;Redwood City;California;United States;9/11/1976 0:00
11041;Brown, Devin;M;M;Partial College;Skilled Manual;North America;Woodland Hills;California;United States;16/10/1974 0:00
11153;King, Marcus;M;M;Partial College;Skilled Manual;North America;Long Beach;California;United States;18/2/1978 0:00
11163;Yuan, Brad;M;M;Partial College;Skilled Manual;North America;Burbank;California;United States;11/4/1977 0:00
11166;Perez, Aaron;M;M;Partial College;Skilled Manual;North America;Glendale;California;United States;1/11/1976 0:00
11185;Carter, Jeremy;M;M;Partial College;Skilled Manual;North America;Lakewood;California;United States;27/7/1975 0:00
11186;Henderson, Connor;M;M;Partial College;Skilled Manual;North America;Palo Alto;California;United States;2/6/1975 0:00
11874;Williams, Robert;M;M;Partial College;Skilled Manual;North America;Bellflower;California;United States;26/1/1962 0:00
11888;Richardson, Mason;M;M;Partial College;Skilled Manual;North America;Novato;California;United States;4/3/1960 0:00
12007;Lee, Seth;M;M;Partial College;Skilled Manual;North America;Downey;California;United States;26/3/1979 0:00
12012;Rivera, Isaiah;M;M;Partial College;Skilled Manual;North America;Berkeley;California;United States;1/4/1978 0:00
12082;Powell, Brandon;M;M;Partial College;Skilled Manual;North America;Redwood City;California;United States;3/4/1978 0:00
12083;Williams, Jonathan;M;M;Partial College;Skilled Manual;North America;Spring Valley;California;United States;4/6/1978 0:00
12094;Parker, Nathan;M;M;Partial College;Skilled Manual;North America;San Diego;California;United States;7/3/1977 0:00
12320;Green, Luis;M;M;Partial College;Skilled Manual;North America;Santa Cruz;California;United States;12/10/1978 0:00
12329;Butler, Julian;M;M;Partial College;Skilled Manual;North America;El Cajon;California;United States;4/4/1980 0:00
12338;Green, Isaiah;M;M;Partial College;Skilled Manual;North America;Woodland Hills;California;United States;7/11/1975 0:00
12339;Jenkins, Lucas;M;M;Partial College;Skilled Manual;North America;Imperial Beach;California;United States;13/12/1973 0:00
12383;Barnes, Xavier;M;M;Partial College;Skilled Manual;North America;Woodland Hills;California;United States;8/8/1961 0:00
12384;Allen, Caleb;M;M;Partial College;Skilled Manual;North America;Chula Vista;California;United States;17/6/1961 0:00
12399;Chander, Karl;M;M;Partial College;Skilled Manual;North America;Bellflower;California;United States;3/3/1960 0:00
12400;Pal, Keith;M;M;Partial College;Skilled Manual;North America;Berkeley;California;United States;26/5/1960 0:00
12579;Lal, Eric;M;M;Partial College;Skilled Manual;North America;Lincoln Acres;California;United States;12/7/1976 0:00
13239;Richardson, Sean;M;M;Partial College;Skilled Manual;North America;Berkeley;California;United States;7/9/1978 0:00
13240;Hernandez, Miguel;M;M;Partial College;Skilled Manual;North America;Imperial Beach;California;United States;27/11/1978 0:00
13263;Thomas, Daniel;M;M;Partial College;Skilled Manual;North America;La Jolla;California;United States;16/3/1977 0:00
13266;McDonald, Seth;M;M;Partial College;Skilled Manual;North America;Novato;California;United States;13/9/1977 0:00
13276;Rivera, Lucas;M;M;Partial College;Skilled Manual;North America;Palo Alto;California;United States;17/7/1980 0:00
13342;Jones, Wyatt;M;M;Partial College;Skilled Manual;North America;Coronado;California;United States;10/12/1961 0:00
13352;Yang, Brandon;M;M;Partial College;Skilled Manual;North America;Daly City;California;United States;5/2/1960 0:00
13514;Deng, Alejandro;M;M;Partial College;Skilled Manual;North America;Colma;California;United States;25/5/1976 0:00
13515;Phillips, Jesse;M;M;Partial College;Skilled Manual;North America;Mill Valley;California;United States;17/3/1976 0:00
13520;King, Carlos;M;M;Partial College;Skilled Manual;North America;Redwood City;California;United States;13/6/1974 0:00
13521;Wilson, Joseph;M;M;Partial College;Skilled Manual;North America;Burbank;California;United States;22/2/1973 0:00
14086;Rogers, Lucas;M;M;Partial College;Skilled Manual;North America;La Jolla;California;United States;25/8/1961 0:00
14910;James, Chase;M;M;Partial College;Skilled Manual;North America;National City;California;United States;5/6/1979 0:00
14918;Long, Kyle;M;M;Partial College;Skilled Manual;North America;El Cajon;California;United States;25/3/1978 0:00
14955;Carter, Noah;M;M;Partial College;Skilled Manual;North America;San Gabriel;California;United States;10/8/1975 0:00
15013;Bebbington, Mark;M;M;Partial College;Skilled Manual;North America;National City;California;United States;16/8/1958 0:00
15547;Bennett, Miguel;M;M;Partial College;Skilled Manual;North America;Imperial Beach;California;United States;26/6/1978 0:00
15618;Peterson, Isaiah;M;M;Partial College;Skilled Manual;North America;Santa Monica;California;United States;11/10/1960 0:00
15632;Stewart, Isaiah;M;M;Partial College;Skilled Manual;North America;Newport Beach;California;United States;1/3/1960 0:00
15635;Walker, Devin;M;M;Partial College;Skilled Manual;North America;Novato;California;United States;12/5/1960 0:00
15800;Russell, Ryan;M;M;Partial College;Skilled Manual;North America;Coronado;California;United States;19/9/1976 0:00
15802;Washington, Wyatt;M;M;Partial College;Skilled Manual;North America;Woodland Hills;California;United States;19/7/1976 0:00
15804;Bennett, Xavier;M;M;Partial College;Skilled Manual;North America;Los Angeles;California;United States;7/2/1974 0:00
16468;Coleman, Jackson;M;M;Partial College;Skilled Manual;North America;Coronado;California;United States;16/3/1978 0:00
16469;Powell, Robert;M;M;Partial College;Skilled Manual;North America;El Cajon;California;United States;12/10/1978 0:00
16573;Carter, Isaiah;M;M;Partial College;Skilled Manual;North America;El Cajon;California;United States;10/9/1958 0:00
16574;Lal, Hunter;M;M;Partial College;Skilled Manual;North America;Torrance;California;United States;21/6/1958 0:00
17089;Lal, Marshall;M;M;Partial College;Skilled Manual;North America;Bellflower;California;United States;28/4/1979 0:00
17090;Campbell, Xavier;M;M;Partial College;Skilled Manual;North America;Chula Vista;California;United States;13/9/1979 0:00
17091;Walker, Edward;M;M;Partial College;Skilled Manual;North America;Fremont;California;United States;5/4/1979 0:00
17100;Turner, Jesse;M;M;Partial College;Skilled Manual;North America;Woodland Hills;California;United States;6/10/1978 0:00
17126;Jackson, Dalton;M;M;Partial College;Skilled Manual;North America;Fremont;California;United States;22/9/1975 0:00
17128;Price, Fernando;M;M;Partial College;Skilled Manual;North America;Santa Cruz;California;United States;18/6/1975 0:00
17163;Ward, Bruce;M;M;Partial College;Skilled Manual;North America;Grossmont;California;United States;11/6/1962 0:00
17173;Moore, Charles;M;M;Partial College;Skilled Manual;North America;Burbank;California;United States;27/11/1961 0:00
17183;Turner, Fernando;M;M;Partial College;Skilled Manual;North America;Woodland Hills;California;United States;5/9/1960 0:00
17186;Alexander, Eric;M;M;Partial College;Skilled Manual;North America;Burbank;California;United States;19/4/1960 0:00
17866;Reed, Alex;M;M;Partial College;Skilled Manual;North America;Concord;California;United States;5/1/1974 0:00
17869;Chen, Jason;M;M;Partial College;Skilled Manual;North America;Newport Beach;California;United States;6/2/1974 0:00
18080;Rogers, Brian;M;M;Partial College;Skilled Manual;North America;Lincoln Acres;California;United States;7/6/1976 0:00
504;Wu, Dennis;M;M;Graduate Degree;Skilled Manual;North America;Coronado;California;United States;13/10/1930 0:00
537;Chow, Logan;M;M;Graduate Degree;Skilled Manual;North America;Fremont;California;United States;17/4/1958 0:00
538;Ross, Dakota;M;M;Graduate Degree;Skilled Manual;North America;Colma;California;United States;24/3/1958 0:00
540;Washington, Justin;M;M;Graduate Degree;Skilled Manual;North America;Concord;California;United States;22/8/1959 0:00
626;Moore, Zachary;M;M;Graduate Degree;Skilled Manual;North America;Palo Alto;California;United States;19/1/1973 0:00
628;Gray, Dalton;M;M;Graduate Degree;Skilled Manual;North America;Spring Valley;California;United States;27/2/1973 0:00
636;Chande, Darrell;M;M;Graduate Degree;Skilled Manual;North America;Beverly Hills;California;United States;14/8/1972 0:00
